,Price Hub,Trade Date,Delivery Start Date,Delivery End Date,High Price $/MWh,Low Price $/MWh,Wtd Avg Price $/MWh,Change,Daily Volume MWh,Number of Trades,Number of Companies,date_x,DNI,Temperature,DHI,Pressure,Relative Humidity,Wind Speed,date_y,Date_x,Date_y,Open,High,Low,Close,Adj Close,Volume
64,PJM West,2001-04-03,2001-04-04,2001-04-04,48.5,47.0,47.7,1.7000000000000028,8000,10,9,2001-04-03,67052.0741097209,1967.00384985563,28307.687680461982,330372.6708373437,27699.991443695868,632.949615014437,2001-04-03,2001-04-03,2001-04-03,1145.869995,1145.869995,1100.189941,1106.459961,1106.459961,1386100000.0
65,PJM West,2001-04-04,2001-04-05,2001-04-05,50.0,49.0,49.17,1.4699999999999989,11200,10,9,2001-04-04,101289.57988450438,2190.266602502406,21664.01588065447,332990.7844080848,25547.71035611165,678.6540904716074,2001-04-04,2001-04-04,2001-04-04,1106.459961,1117.5,1091.98999,1103.25,1103.25,1425590000.0
66,PJM West,2001-04-05,2001-04-06,2001-04-06,49.25,48.0,48.43,-0.740000000000002,7200,9,10,2001-04-05,91534.7155919153,2864.018768046199,22516.5572666025,332291.40038498555,25833.861304138598,670.8733397497593,2001-04-05,2001-04-05,2001-04-05,1103.25,1151.469971,1103.25,1151.439941,1151.439941,1368000000.0
67,PJM West,2001-04-06,2001-04-09,2001-04-09,56.5,54.0,55.1,6.670000000000002,9600,12,12,2001-04-06,18155.990856592878,4112.155437921077,33791.643888354185,329058.40230991365,31280.20082771895,940.3634263715112,2001-04-06,2001-04-06,2001-04-06,1151.439941,1151.439941,1119.290039,1128.430054,1128.430054,1266800000.0
68,PJM West,2001-04-09,2001-04-10,2001-04-10,58.0,54.0,55.65,0.5499999999999972,31200,37,15,2001-04-09,70194.97738209815,4897.4003849855635,29398.37776708373,327976.5255052937,30278.976814244466,755.6102983638115,2001-04-09,2001-04-09,2001-04-09,1128.430054,1146.130005,1126.380005,1137.589966,1137.589966,1062800000.0
69,PJM West,2001-04-10,2001-04-11,2001-04-11,56.0,53.5,54.75,-0.8999999999999986,24000,24,14,2001-04-10,30876.75264677575,4090.3349374398454,39533.54138594802,329063.00769971125,29933.60595283928,735.6152550529354,2001-04-10,2001-04-10,2001-04-10,1137.589966,1173.920044,1137.589966,1168.380005,1168.380005,1349600000.0
70,PJM West,2001-04-11,2001-04-12,2001-04-12,55.0,48.0,49.89,-4.859999999999999,8800,11,8,2001-04-11,9182.366698748798,4270.449470644851,29342.097690086615,330144.35996150144,31457.40167949953,957.1499037536092,2001-04-11,2001-04-11,2001-04-11,1168.380005,1182.23999,1160.26001,1165.890015,1165.890015,1290300000.0
71,PJM West,2001-04-12,2001-04-13,2001-04-16,48.0,44.5,45.54,-4.350000000000001,11200,7,6,2001-04-12,30693.482675649662,4668.687680461982,34568.22521655439,328532.76227141503,29197.91785851781,1195.9494225216554,2001-04-12,2001-04-12,2001-04-12,1165.890015,1183.51001,1157.72998,1183.5,1183.5,1102000000.0
72,PJM West,2001-04-13,2001-04-16,2001-04-16,51.0,50.0,50.2,4.660000000000004,4000,5,5,2001-04-13,83452.21992300291,4165.885948026948,25492.575072184794,328835.7699711261,26603.2058373436,738.0769489894132,2001-04-13,2001-04-13,,,,,,,
73,PJM West,2001-04-16,2001-04-17,2001-04-17,54.25,53.0,53.8,3.5999999999999943,8800,9,9,2001-04-16,36309.713185755536,2265.6564003849853,32847.21366698749,327719.3503368626,26260.280202117418,1054.1633301251209,2001-04-16,2001-04-16,2001-04-16,1183.5,1184.640015,1167.380005,1179.680054,1179.680054,913900000.0
74,PJM West,2001-04-17,2001-04-18,2001-04-18,54.0,52.0,53.47,-0.3299999999999983,8000,9,11,2001-04-17,48511.61549566891,1400.7358036573628,34525.155919153025,328609.0712223292,24806.35928777671,1039.2840230991337,2001-04-17,2001-04-17,2001-04-17,1179.680054,1192.25,1168.900024,1191.810059,1191.810059,1109600000.0
75,PJM West,2001-04-18,2001-04-19,2001-04-19,50.0,48.05,48.76,-4.710000000000001,3200,3,6,2001-04-18,95796.89797882581,1401.3681424446581,28697.173724735327,329650.9432146293,23111.016453320502,944.6407122232915,2001-04-18,2001-04-18,2001-04-18,1191.810059,1248.420044,1191.810059,1238.160034,1238.160034,1918900000.0
76,PJM West,2001-04-19,2001-04-20,2001-04-20,43.0,41.0,42.27,-6.489999999999995,10400,12,8,2001-04-19,104746.70596727623,2375.0851780558232,27074.282483156876,331613.80654475465,22355.341650625604,755.7331087584215,2001-04-19,2001-04-19,2001-04-19,1238.160034,1253.709961,1233.390015,1253.689941,1253.689941,1486800000.0
77,PJM West,2001-04-20,2001-04-23,2001-04-23,55.5,54.0,54.56,12.29,12000,13,12,2001-04-20,30050.963426371512,3514.1150144369585,38259.99615014437,331385.85178055806,28962.688532242544,954.7339749759383,2001-04-20,2001-04-20,2001-04-20,1253.699951,1253.699951,1234.410034,1242.97998,1242.97998,1338700000.0
78,PJM West,2001-04-23,2001-04-24,2001-04-24,55.0,52.5,53.04,-1.5200000000000031,11200,10,10,2001-04-23,73334.71751684311,5778.217998075074,33292.902309913385,330294.9422521654,28327.310798845047,1057.014051973051,2001-04-23,2001-04-23,2001-04-23,1242.97998,1242.97998,1217.469971,1224.359985,1224.359985,1012600000.0
